"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"6007","ILMN_3246953",-0.450015432618417,0.0354171718168317,-6.46698545316238,7.11287411682183e-10,2.74691870328382e-08,12.0584790299621,"CMTR1","cap methyltransferase 1"
"3310","ILMN_1779677",-0.473098258323335,0.011793533950495,-6.46665100052191,7.12596715612707e-10,2.74972675450194e-08,12.0566965356448,"TUT7","terminal uridylyl transferase 7"
"3045","ILMN_1768261",0.773539020288107,0.145515342376238,6.46463724386822,7.20530303467171e-10,2.778070756168e-08,12.0459653280499,NA,NA
"5076","ILMN_2315979",0.475402466680503,-0.0416024698168317,6.46413204951772,7.22534193379678e-10,2.78352467271742e-08,12.0432735181594,"LBH","LBH regulator of Wnt signaling pathway"
"3284","ILMN_1778734",0.353233505848274,-0.0146096548415842,6.46385031065151,7.23654108295828e-10,2.78556700806196e-08,12.0417723987043,"FAN1","FANCD2 and FANCI associated nuclease 1"
"865","ILMN_1679912",-0.380982306343565,-0.0300192971683168,-6.46180912859415,7.31818924844891e-10,2.81470192502842e-08,12.0308981607191,"DPH3","diphthamide biosynthesis 3"
"5884","ILMN_3239263",0.54111233449285,0.0081031770990099,6.460065783742,7.3886399272214e-10,2.83948618716513e-08,12.0216124185704,"RPL23AP53","ribosomal protein L23a pseudogene 53"
"918","ILMN_1682288",0.552952579087897,-0.0123381586435644,6.4591442763238,7.42614792612966e-10,2.85105819882751e-08,12.016704773627,"GUSBP15","GUSB pseudogene 15"
"919","ILMN_1682288",0.552952579087897,-0.0123381586435644,6.4591442763238,7.42614792612966e-10,2.85105819882751e-08,12.016704773627,"GUSBP17","GUSB pseudogene 17"
"4181","ILMN_1821270",0.737726316368679,-0.019838721450495,6.45902970565051,7.43082433731376e-10,2.85105819882751e-08,12.0160946402084,NA,NA
"2683","ILMN_1753312",-0.431590749009767,-0.00463689676732673,-6.45884495139529,7.43837151497934e-10,2.85163737844147e-08,12.0151107669284,"PLXDC2","plexin domain containing 2"
"1834","ILMN_1718449",0.599146324590165,-0.0161557932128713,6.45775583969089,7.48301482548639e-10,2.86642557358108e-08,12.0093112887855,"NSUN5P2","NSUN5 pseudogene 2"
"3431","ILMN_1784410",0.238050863958493,0.0161122581039604,6.45712631500496,7.50893934897841e-10,2.87402523818152e-08,12.0059593879048,"UBP1","upstream binding protein 1"
"4473","ILMN_2070052",0.369532137314615,-0.0118883746881188,6.45672082694618,7.52568449915857e-10,2.87810206137456e-08,12.0038004829187,"NPIPB13","nuclear pore complex interacting protein family, member B13"
"110","ILMN_1654946",0.425721232463202,-0.0366733836287129,6.45618247194845,7.54797326186704e-10,2.88429065640164e-08,12.0009343040839,"ZSCAN18","zinc finger and SCAN domain containing 18"
"4706","ILMN_2150000",-0.255728316203349,-0.0111593422425743,-6.45575396516758,7.56576047652909e-10,2.8887504694175e-08,11.9986530650375,"EMC7","ER membrane protein complex subunit 7"
"1903","ILMN_1721093",-0.296178075564353,0.00700836648019802,-6.45515361141301,7.59075030395605e-10,2.89595094996889e-08,11.9954571331651,"TAF10","TATA-box binding protein associated factor 10"
"493","ILMN_1667257",-0.278505700980468,0.0158177238168317,-6.45347947528722,7.66086567361525e-10,2.92034178071446e-08,11.9865460479158,"SDHB","succinate dehydrogenase complex iron sulfur subunit B"
"5314","ILMN_2367141",0.753773313066621,0.00790214321287129,6.45183107388861,7.73052480722649e-10,2.94451949330737e-08,11.977773432765,"TCF7","transcription factor 7"
"853","ILMN_1679543",-0.696463339543077,-0.0647763013811881,-6.45148255868238,7.74533206880949e-10,2.94486072633052e-08,11.9759188615822,"KPTN","kaptin, actin binding protein"
"2451","ILMN_1745112",0.794632125037322,-0.0952046998168317,6.45136987163403,7.75012572850211e-10,2.94486072633052e-08,11.9753192285637,"EEIG1","estrogen-induced osteoclastogenesis regulator 1"
"5935","ILMN_3242011",-0.473988750894664,0.0473589684158416,-6.45137284465724,7.74999921991572e-10,2.94486072633052e-08,11.9753350485972,"MOB1A","MOB kinase activator 1A"
"4142","ILMN_1814305",-0.443095330673876,0.0251861542920792,-6.44888992917444,7.8563624459528e-10,2.98282841386492e-08,11.962124648815,"SAMD9","sterile alpha motif domain containing 9"
"1503","ILMN_1705733",0.609746450604116,0.00210097567821783,6.4479393880675,7.89746025195736e-10,2.9960236559052e-08,11.9570681646936,"RPRD2","regulation of nuclear pre-mRNA domain containing 2"
"3001","ILMN_1766487",-0.547493237999303,-0.0418372704257426,-6.44722153851403,7.92863726811012e-10,3.00543713330746e-08,11.9532498290712,"LRRC25","leucine rich repeat containing 25"
"3666","ILMN_1794912",-0.26246286033624,-0.00880804894059406,-6.44368828381786,8.08386140180909e-10,3.0618192291006e-08,11.934460075541,"ATP5PD","ATP synthase peripheral stalk subunit d"
